AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32
14.485969,11.338138,-10.539301,-4.7856836,14.087448,-6.6160383,25.707176,9.802751,-30.643528,32.68142,1.3014529,-6.590031,17.851967,29.119242,10.299721,12.4711485,7.7239985,6.2177935,-7.450203,-10.769753,-6.9981303,-5.4049706,4.5022573,-9.642606,-38.9637,-8.983828,-28.164848,5.703642,36.706085,2.5336962,-21.457853,-0.06686114
14.430094,11.399655,-10.570134,-4.866258,14.068435,-6.675246,25.743,9.748483,-30.611326,32.72827,1.2605766,-6.650225,17.803354,29.173075,10.244394,12.391416,7.8167434,6.118309,-7.4979043,-10.74455,-7.0013423,-5.394257,4.596307,-9.65966,-38.958458,-9.044708,-28.099327,5.740595,36.68609,2.4796884,-21.512735,0.03939505
3.9202805,9.254964,-9.590884,-13.012135,7.0347066,5.940633,25.570675,9.685425,-25.61333,34.438965,1.4191499,1.4866209,11.714622,16.822512,-4.1465154,21.60309,12.537102,4.682497,-6.825365,-8.605277,-11.773025,-4.4258103,19.450764,-3.2865274,-36.993984,-13.520487,-24.518393,12.37828,35.44361,-0.86581236,-20.831224,0.9172612
4.645841,-4.60466,-12.5772915,-4.4253597,5.586238,-1.4898329,7.5333185,-5.3856997,-13.843815,25.702282,1.7960438,-14.014976,1.5470086,1.5261352,-1.6719626,-1.7394849,-5.7650766,-2.123965,5.2772713,-4.2272205,-8.056668,-10.839412,2.481989,2.5297246,-2.537873,-0.79481167,-7.992595,-2.994106,13.518712,-3.628926,-6.3148956,2.4970384
7.4569545,-8.21789,-22.390581,-16.261118,8.249231,5.9001784,8.378394,-8.208869,-20.584394,41.845623,-6.303826,-14.477244,6.3230734,9.845365,-9.825436,4.055412,1.9239283,1.1666458,6.9492946,-6.271141,-12.051971,-12.984944,10.05013,-3.05544,-12.832692,-9.695564,-12.26431,7.6433992,35.16795,-5.9459753,-3.8873847,2.7752438
2.657845,-10.109013,-20.218798,-13.130924,5.8990936,6.932375,8.839854,-5.874278,-23.713345,39.003757,-0.90770674,-11.520466,3.20478,0.6261702,-3.9271803,4.171737,-2.3338206,-0.14234239,6.2518754,-7.5089927,-8.747347,-11.420127,9.136588,1.2846185,-7.474207,-6.738365,-12.926788,1.5518615,25.941698,-5.2051992,-5.134397,2.5667396
4.6333117,-9.427751,-20.755625,-12.404841,5.3984346,6.187425,9.069332,-8.919189,-24.216566,39.0394,-2.2598429,-15.142167,2.378942,-0.053406186,-5.285382,-0.230146,-0.22738925,-3.5084689,9.62192,-6.561269,-4.8904033,-11.575828,9.81305,1.5607896,-5.944379,-7.4907775,-8.824893,2.2478166,27.549547,-8.029731,-5.3976464,3.49973
3.4241905,-9.772454,-21.790092,-14.367924,5.683149,4.324995,6.3431168,-7.022322,-24.705095,41.789326,-6.9450636,-15.8156595,0.32323313,-0.63773775,-2.2715902,2.2764997,-1.795963,-6.065151,8.841273,-8.569422,-5.886228,-10.732135,6.9004445,0.30536178,-2.869956,-9.59701,-9.206923,0.6329164,29.647694,-10.171765,-1.9596585,3.5971916
5.953735,-9.094138,-20.715223,-12.775979,7.225029,4.989829,12.021092,-7.3363967,-27.155508,39.9654,-4.0366807,-14.772631,2.066415,-0.81347764,-2.3646777,-1.5658803,0.35433948,-2.547617,10.679485,-9.570223,-0.70810807,-13.347407,9.8812895,-0.22065623,-6.8405075,-12.163392,-9.410329,3.8638813,30.115723,-10.395355,-4.5720696,3.4210525
8.875163,-8.492835,-21.379955,-18.76465,10.068638,8.43604,12.174935,-6.011712,-28.98928,45.671913,-8.384981,-11.093312,8.762187,5.2971954,-3.322621,4.126278,1.7029928,2.0934322,6.6047854,-12.229556,-6.721177,-14.659884,10.530032,-7.2065034,-16.435392,-12.888212,-16.31329,9.71527,40.34827,-8.252724,-3.513854,2.7350774
-5.2415147,8.2788925,-7.3164268,0.22380824,-17.327576,-0.9027057,-2.4681165,1.1681792,-10.775904,2.102788,5.6497355,1.764735,1.9466815,10.977488,2.9206169,15.201175,23.256872,-14.755501,-5.6080556,14.099514,1.3303015,20.840397,15.75184,9.15191,-16.313698,2.725676,4.3520184,-12.248666,15.756721,-2.5638933,-15.227626,1.7991425
-6.3326797,7.78171,-5.1987867,-0.7242555,-17.789448,-0.7492732,-4.022261,-1.4378787,-8.172618,0.40390736,2.8098857,0.50496876,1.8389741,9.92085,-1.4015813,14.4189,25.177303,-16.727608,-5.1627703,14.791709,-0.7309705,21.223476,15.9427185,8.965623,-15.128333,4.0254364,7.2250037,-9.29026,17.373238,-3.9666483,-15.5061245,2.6142924
-5.743233,12.461413,-1.8512983,-1.4376242,-14.3298855,-0.76306534,5.5503387,5.575234,-8.962306,4.2723913,7.9475784,2.872817,-2.7363498,7.3850307,-2.149332,15.761749,20.770647,-13.14438,-4.748945,8.011758,-1.2080476,15.967595,19.241388,7.992245,-17.376999,0.92793185,-0.25007018,-7.9894667,13.510789,-1.3668795,-16.00345,1.5929884
-6.522248,10.30125,-0.86259544,-0.9636995,-13.650092,-0.71650255,3.493742,3.6056535,-6.7659326,2.7255006,5.407848,0.7025273,-3.0103967,7.2658033,-6.051202,14.712162,21.10505,-14.20021,-3.5921125,9.404226,-3.2133853,15.828315,17.805597,8.38069,-14.993468,2.0089054,2.5990708,-5.606033,14.585791,-2.133393,-15.629693,1.4678584
-7.076673,9.897466,-1.500284,-1.5603245,-13.431004,-0.6913136,4.15672,3.056297,-8.483474,4.061617,4.9911633,-0.07706942,-3.63432,6.224306,-6.4583087,13.863481,22.018417,-15.405737,-2.9426775,9.266625,-2.033449,15.670069,18.784805,8.722984,-14.62004,1.1717609,2.9439662,-5.1581078,14.870222,-2.8577857,-16.075035,2.1015017
-9.735467,7.258951,-0.61469877,-2.9841986,-13.756124,-1.5657306,7.327709,1.7343235,-17.211845,6.597097,3.6431231,-0.03352888,-1.4739047,2.2669384,-5.473343,12.7672615,26.407583,-18.492336,-3.6178844,7.8891263,0.5515766,17.08791,22.16463,9.429732,-17.760174,-0.14058629,2.3205671,-3.250124,19.251986,-5.842,-21.413881,3.0960846
