car_ID,symboling,CarName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarBrand_alfa-romero,CarBrand_audi,CarBrand_bmw,CarBrand_buick,CarBrand_chevrolet,CarBrand_dodge,CarBrand_honda,CarBrand_isuzu,CarBrand_jaguar,CarBrand_mazda,CarBrand_mercury,CarBrand_mitsubishi,CarBrand_nissan,CarBrand_peugeot,CarBrand_plymouth,CarBrand_porsche,CarBrand_renault,CarBrand_saab,CarBrand_subaru,CarBrand_toyota,CarBrand_volkswagen,CarBrand_volvo,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,doornumber_four,doornumber_two,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginelocation_front,enginelocation_rear,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
1,1.0,alfa-romero giulia,0.068965517241379,0.41343283582089585,0.31666666666666643,0.08333333333333348,0.41117145073700545,0.3988439306358381,0.6642857142857144,0.17679558011049745,0.1333333333333333,0.39622641509433965,0.4594594594594592,0.31999999999999995,0.32352941176470584,0.2625195863365716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1.0,alfa-romero stelvio,0.068965517241379,0.41343283582089585,0.31666666666666643,0.08333333333333348,0.41117145073700545,0.3988439306358381,0.6642857142857144,0.17679558011049745,0.1333333333333333,0.39622641509433965,0.4594594594594592,0.31999999999999995,0.32352941176470584,0.3566906925728611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,0.6000000000000001,alfa-romero Quadrifoglio,0.27241379310344804,0.4492537313432834,0.43333333333333357,0.3833333333333333,0.5178432893716058,0.5260115606936416,0.10000000000000009,0.6132596685082876,0.1333333333333333,0.6666666666666666,0.4594594594594592,0.24,0.2941176470588235,0.3566906925728611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,0.8,audi 100 ls,0.45517241379310347,0.5298507462686568,0.49166666666666714,0.5416666666666665,0.3293250581846392,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.19999999999999996,0.339622641509434,0.7297297297297294,0.43999999999999995,0.4117647058823529,0.27677843936070196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0.8,audi 100ls,0.4413793103448276,0.5298507462686568,0.5083333333333337,0.5416666666666665,0.5182311869666407,0.4335260115606936,0.4642857142857142,0.5745856353591161,0.06666666666666665,0.42138364779874216,0.7297297297297294,0.19999999999999996,0.17647058823529416,0.3864619241617048,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0.8,audi fox,0.45517241379310347,0.5402985074626869,0.5,0.4416666666666669,0.3952676493405741,0.4335260115606936,0.4642857142857142,0.5745856353591161,0.09999999999999998,0.389937106918239,0.7297297297297294,0.24,0.2647058823529411,0.31751801942964586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0.6000000000000001,audi 100ls,0.6620689655172414,0.770149253731343,0.9250000000000007,0.6583333333333337,0.525989138867339,0.4335260115606936,0.4642857142857142,0.5745856353591161,0.09999999999999998,0.389937106918239,0.7297297297297294,0.24,0.2647058823529411,0.3946098401754936,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0.6000000000000001,audi 5000,0.6620689655172414,0.770149253731343,0.9250000000000007,0.6583333333333337,0.5686578743211792,0.4335260115606936,0.4642857142857142,0.5745856353591161,0.09999999999999998,0.389937106918239,0.7297297297297294,0.24,0.2647058823529411,0.432528987778126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0.6000000000000001,audi 4000,0.6620689655172414,0.770149253731343,0.9250000000000007,0.6750000000000003,0.6198603568657874,0.4046242774566474,0.4214285714285715,0.5745856353591161,0.08666666666666667,0.5786163522012578,0.7297297297297294,0.16000000000000003,0.11764705882352944,0.5878094641178314,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,0.4,audi 5000s (diesel),0.44482758620689644,0.553731343283582,0.6333333333333337,0.3500000000000001,0.6070597362296353,0.4046242774566474,0.4214285714285715,0.5745856353591161,0.0,0.7044025157232704,0.7297297297297294,0.12,0.17647058823529416,0.3992844562832968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
