car_ID,symboling,CarName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarBrand_alfa-romero,CarBrand_audi,CarBrand_bmw,CarBrand_buick,CarBrand_chevrolet,CarBrand_dodge,CarBrand_honda,CarBrand_isuzu,CarBrand_jaguar,CarBrand_mazda,CarBrand_mercury,CarBrand_mitsubishi,CarBrand_nissan,CarBrand_peugeot,CarBrand_plymouth,CarBrand_porcshce,CarBrand_porsche,CarBrand_renault,CarBrand_saab,CarBrand_subaru,CarBrand_toyota,CarBrand_toyouta,CarBrand_volkswagen,CarBrand_volvo,CarBrand_vw,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,doornumber_four,doornumber_two,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginelocation_front,enginelocation_rear,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,cluster
64,0.4,mazda glc deluxe,0.4206896551724135,0.5477611940298508,0.5166666666666666,0.641666666666667,0.3704422032583397,0.3526011560693641,0.6071428571428574,0.5690607734806632,0.1333333333333333,0.10062893081761,0.2702702702702702,0.92,0.7647058823529412,0.1779066123472265,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
67,0.4,mazda rx-7 gs,0.6310344827586207,0.5059701492537312,0.4833333333333334,0.5500000000000003,0.4701318851823119,0.4219653179190751,0.6357142857142859,0.7071823204419891,1.0,0.150943396226415,0.0270270270270267,0.72,0.676470588235294,0.4144782199937323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
91,0.6000000000000001,nissan gt-r,0.272413793103448,0.3611940298507465,0.2916666666666669,0.5583333333333331,0.2051978277734678,0.2427745664739884,0.3214285714285718,0.6132596685082876,0.9933333333333332,0.0440251572327043,0.3513513513513513,0.4399999999999999,1.0,0.0620808523973676,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
131,0.4,renault 12tl,0.3275862068965516,0.6029850746268659,0.5166666666666666,0.6166666666666667,0.4231962761830876,0.4104046242774566,0.6571428571428573,0.850828729281768,0.1133333333333332,0.2641509433962263,0.5135135135135136,0.4,0.4411764705882353,0.1308994045753682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
132,0.8,renault 5 gtl,0.3275862068965516,0.5328358208955226,0.5249999999999995,0.2250000000000001,0.3770364623739333,0.4104046242774566,0.6571428571428573,0.850828729281768,0.1133333333333332,0.2641509433962263,0.5135135135135136,0.4,0.4411764705882353,0.1497022876841116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
159,0.4,toyota corona,0.3137931034482761,0.3761194029850747,0.3416666666666677,0.4333333333333331,0.3052754072924748,0.2832369942196532,0.5214285714285716,0.5469613259668509,0.1333333333333333,0.050314465408805,0.189189189189189,0.8400000000000001,0.5882352941176471,0.0871200250705108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
160,0.4,toyota corolla,0.3137931034482761,0.3761194029850747,0.3416666666666677,0.4166666666666665,0.3052754072924748,0.2832369942196532,0.5214285714285716,0.5469613259668509,0.1333333333333333,0.050314465408805,0.189189189189189,1.0,0.9117647058823528,0.0836728298339078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
175,0.2,toyota celica gt,0.5448275862068965,0.5149253731343282,0.5166666666666666,0.5916666666666663,0.3847944142746314,0.2832369942196532,0.5214285714285716,0.5469613259668509,0.1333333333333333,0.1572327044025157,0.189189189189189,0.6799999999999999,0.5,0.174866812911313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
183,0.8,volkswagen rabbit,0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.299844840961986,0.2080924855491329,0.3357142857142856,0.5745856353591161,0.1333333333333333,0.0251572327044025,0.3513513513513513,0.96,0.8823529411764707,0.0832654340332184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
184,0.8,volkswagen 1131 deluxe sedan,0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.2796741660201707,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.1333333333333333,0.2327044025157232,0.5945945945945943,0.56,0.5294117647058824,0.0895330617361328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
